ACCOUNT_ID,SALESFORCE_ACCOUNT_ID,OVERRIDE_SFDC_ACCOUNT_ID,CLOUD_ACCOUNT_NAME,SALESFORCE_ACCOUNT_NAME,OVERRIDE_SFDC_ACCOUNT_NAME,BILLING_EMAIL_DOMAIN,EMAIL_DOMAIN,DATABASE_TYPE,DATABASE_SOURCE,IS_ACCOUNT_OVERRIDE,IS_BILLING_DOMAIN,IS_MANAGED_CUSTOMER,COUNT_OF_USERS,ACCOUNT_LEVEL_IS_MANAGED_CUSTOMER,ACCOUNT_LEVEL_BILLING_DOMAIN_MATCH,ACCOUNT_LEVEL_BUSINESS_DOMAIN_USERS,ACCOUNT_LEVEL_PARTNER_DOMAIN_USERS,ACCOUNT_LEVEL_INTERNAL_DOMAIN_USERS,ACCOUNT_LEVEL_CONSUMER_DOMAIN_USERS,BUSINESS_DOMAIN_RANK,PARTNER_DOMAIN_RANK,INTERNAL_DOMAIN_RANK,CONSUMER_DOMAIN_RANK,COUNT_OF_LEADING_BUSINESS_DOMAINS,COUNT_OF_LEADING_PARTNER_DOMAINS,COUNT_OF_LEADING_INTERNAL_DOMAINS,COUNT_OF_LEADING_CONSUMER_DOMAINS,COUNT_OF_BUSINESS_DOMAIN_USERS,COUNT_OF_PARTNER_DOMAIN_USERS,COUNT_OF_INTERNAL_DOMAIN_USERS,COUNT_OF_CONSUMER_DOMAIN_USERS,BUSINESS_DOMAIN_CREATED_AT_RANK,PARTNER_DOMAIN_CREATED_AT_RANK,INTERNAL_DOMAIN_CREATED_AT_RANK,CONSUMER_DOMAIN_CREATED_AT_RANK,LAST_LICENSE_CREATED_AT
4,0014v00002mwyI1AAI,null,Vlaams Agentschap Zorg & Gezondheid,Sparkle,null,spendesk.com,sparkle.ms,multi-tenant,cloud,False,False,False,1,False,False,24,9,0,0,3.0,2.0,null,null,1,1,0,0,0,1,0,0,6.0,4.0,null,null,2022-10-06T08:04:30.378532Z
4,0014v00002NCE8yAAH,null,Vlaams Agentschap Zorg & Gezondheid,Tropos.io,null,spendesk.com,tropos.io,multi-tenant,cloud,False,False,False,6,False,False,24,9,0,0,3.0,1.0,null,null,1,1,0,0,0,6,0,0,3.0,1.0,null,null,2022-09-19T10:59:29.203465Z
4,null,null,Vlaams Agentschap Zorg & Gezondheid,null,null,spendesk.com,vikz.be,multi-tenant,cloud,False,False,null,1,False,False,24,9,0,0,2.0,3.0,null,null,1,1,0,0,1,0,0,0,2.0,6.0,null,null,2022-09-13T06:58:07.630769Z
4,0014v00002NCEB4AAP,null,Vlaams Agentschap Zorg & Gezondheid,Vlaanderen,null,spendesk.com,vlaanderen.be,multi-tenant,cloud,False,False,False,23,False,False,24,9,0,0,1.0,3.0,null,null,1,1,0,0,23,0,0,0,1.0,5.0,null,null,2022-12-20T11:08:19.230268Z
5,0014v00002NCDkXAAX,null,Collaborative Imaging,Collaborative Imaging,null,collaborativeimaging.com,collaborativeimaging.com,multi-tenant,cloud,False,True,False,8,False,True,17,0,0,0,1.0,null,null,null,2,0,0,0,8,0,0,0,1.0,null,null,null,2023-01-17T22:07:51.194618Z
5,0014v00002NsUANAA3,null,Collaborative Imaging,Radamatic Solutions,null,collaborativeimaging.com,radamatic.com,multi-tenant,cloud,False,False,False,8,False,True,17,0,0,0,1.0,null,null,null,2,0,0,0,8,0,0,0,2.0,null,null,null,2022-05-23T13:39:16.957522Z
5,0014v00002OxAQkAAN,null,Collaborative Imaging,Texas Radiology Associates,null,collaborativeimaging.com,texasradiology.com,multi-tenant,cloud,False,False,False,1,False,True,17,0,0,0,2.0,null,null,null,2,0,0,0,1,0,0,0,3.0,null,null,null,2020-11-23T15:44:07.154427Z
6,0014v00002oMgM3AAK,null,ALKU,ALKU,null,null,alku.com,multi-tenant,cloud,False,False,False,2,False,False,4,0,0,0,1.0,null,null,null,2,0,0,0,2,0,0,0,1.0,null,null,null,2023-01-17T15:26:03.4291Z
6,null,null,ALKU,null,null,null,newburypartners.com,multi-tenant,cloud,False,False,null,2,False,False,4,0,0,0,1.0,null,null,null,2,0,0,0,2,0,0,0,2.0,null,null,null,2023-01-17T16:43:20.969915Z
6,null,null,ALKU,null,null,null,null,multi-tenant,cloud,False,False,null,2,False,False,4,0,0,0,null,null,null,null,2,0,0,0,0,0,0,0,null,null,null,null,2023-01-26T13:21:08.742865Z
7,0014v00002Ox9ltAAB,null,Holistics (Partner),Holistics,null,null,holistics.io,multi-tenant,cloud,False,False,False,3,False,False,0,3,0,0,null,1.0,null,null,0,1,0,0,0,3,0,0,null,1.0,null,null,2022-11-30T08:36:40.827841Z
8,0014v00002NBXjrAAH,null,CommonBond Communities,Eide Bailly LLP,null,commonbond.org,eidebailly.com,multi-tenant,cloud,False,False,False,1,False,False,0,2,0,0,null,1.0,null,null,0,2,0,0,0,1,0,0,null,2.0,null,null,2023-01-24T22:37:01.29493Z
8,0014v00002NBXjrAAH,null,CommonBond Communities,Eide Bailly LLP,null,commonbond.org,tcebanalytics.eidebailly.com,multi-tenant,cloud,False,False,False,1,False,False,0,2,0,0,null,1.0,null,null,0,2,0,0,0,1,0,0,null,1.0,null,null,2022-01-25T22:14:40.867885Z
9,0014v00002OxoX7AAJ,null,dbt Labs - ProServ Sandbox,Dbt Labs,null,null,dbtlabs.com,multi-tenant,cloud,False,False,False,6,False,False,0,0,15,0,null,null,2.0,null,0,0,1,0,0,0,6,0,null,null,2.0,null,2022-04-05T20:18:13.00508Z
9,0016g00000EFCncAAH,null,dbt Labs - ProServ Sandbox,Fishtown Analytics,null,null,fishtownanalytics.com,multi-tenant,cloud,False,False,False,9,False,False,0,0,15,0,null,null,1.0,null,0,0,1,0,0,0,9,0,null,null,1.0,null,2022-08-24T18:01:30.683977Z
10,null,null,Curb Food,null,null,gmail.com,gmail.com,multi-tenant,cloud,False,True,null,1,False,True,0,0,0,1,null,null,null,1.0,0,0,0,1,0,0,0,1,null,null,null,1.0,2022-05-21T10:27:04.258858Z
11,null,null,Baruch College ,null,null,null,gmail.com,multi-tenant,cloud,False,False,null,4,False,False,0,0,0,4,null,null,null,1.0,0,0,0,1,0,0,0,4,null,null,null,1.0,2021-12-01T02:24:48.270555Z
12,null,null,Attain,null,null,null,yahoo.com,multi-tenant,cloud,False,False,null,1,False,False,0,0,0,2,null,null,null,1.0,0,0,0,2,0,0,0,1,null,null,null,2.0,2022-02-16T05:43:36.178724Z
12,null,null,Attain,null,null,null,zohomail.com,multi-tenant,cloud,False,False,null,1,False,False,0,0,0,2,null,null,null,1.0,0,0,0,2,0,0,0,1,null,null,null,1.0,2022-02-09T05:21:00.645273Z
